id,code,description
1,805001,HULL 
2,805002,STE-AGATHE 
3,805003,ST-SAUVEUR 
4,805004,VALLEYFIELD 
5,805005,ST-EUSTACHE 
6,805006,ST-JÉRÔME 
7,805007,STE-THÉRÈSE 
8,805008,PONT-VIAU 
9,805009,MONTRÉAL 
10,805010,CHÂTEAUGUAY 
11,805011,ST-JEAN 
12,805012,ST-LAMBERT 
13,805013,TERREBONNE 
14,805014,L'ÉPIPHANIE - L'ASSOMPTION 
15,805015,JOLIETTE 
16,805016,SOREL 
17,805017,ST-HYACINTHE 
18,805018,GRANBY 
19,805019,DRUMMONDVILLE 
20,805020,TROIS-RIVIÈRES 
21,805021,SHAWINIGAN 
22,805022,VICTORIAVILLE 
23,805023,THETFORD MINES 
24,805024,SHERBROOKE 
25,805025,MAGOG 
26,805026,LÉVIS 
27,805027,QUÉBEC 
28,805028,LA MALBAIE  
29,805029,CHICOUTIMI 
30,805030,ALMA 
31,805031,RIVIÈRE DU LOUP 
32,805032,MANOUANE 
33,805033,OBEDJIWAN 
34,805034,KUUJJUAQ 
35,805101,CHATHAM 
36,805102,SUDBURY 
37,805103,HAMILTON 
38,805104,LINDSAY 
39,805105,OTTAWA 
40,805106,TORONTO 
41,805107,BRANTFORD 
42,805108,SAULT STE. MARIE 
43,805109,FORT ALBANY 
44,805110,VERMILION BAY 
45,805111,GORE BAY 
46,805112,HUNTSVILLE 
47,805113,PARRY SOUND 
48,805114,FORT FRANCES 
49,805115,FOLEYET 
50,805116,THUNDER BAY 
51,805117,ORANGEVILLE 
52,805118,OSHAWA 
53,805119,ST. THOMAS 
54,805120,WINDSOR 
55,805121,KINGSTON 
56,805122,OWEN SOUND 
57,805123,SIMCOE 
58,805124,HALIBURTON 
59,805125,BURLINGTON 
60,805126,BELLEVILLE 
61,805127,CLINTON 
62,805128,SARNIA 
63,805129,SMITHS FALLS 
64,805130,BROCKVILLE 
65,805131,LONDON 
66,805132,ST. CATHARINES - THOROLD 
67,805133,NORTH BAY 
68,805134,COBOURG 
69,805135,WOODSTOCK 
70,805136,BRAMPTON 
71,805137,STRATFORD 
72,805138,PETERBOROUGH 
73,805139,HAWKESBURY 
74,805140,PEMBROKE 
75,805141,BARRIE 
76,805142,CORNWALL 
77,805143,KITCHENER - WATERLOO 
78,805144,GUELPH 
79,805145,RICHMOND HILL 
80,808301,BONAVENTURE 
81,808302,DONNACONA 
82,808303,GASPÉ 
83,808304,HAUTERIVE 
84,808305,MATANE 
85,808306,MONTMAGNY 
86,808307,RIMOUSKI 
87,808308,SAINT-GEORGES 
88,808309,SAINT-HENRI 
89,808310,SAINTE-MARIE 
90,808311,SEPT-ÎLES 
91,808401,CALGARY 
92,808402,CAMROSE 
93,808403,CYPRESS 
94,808404,EDMONTON 
95,808405,GRANDE PRAIRIE 
96,808406,LEDUC 
97,808407,LETHBRIDGE 
98,808408,MINBURN 
99,808409,NEWELL 
100,808410,PARKLAND 
101,808411,PEACE RIVER 
102,808412,RED DEER 
103,808413,STRATHCONA 
104,808414,STURGEON 
105,808415,WESTLOCK 
106,808416,WOOD BUFFALO 
107,808417,YELLOWHEAD 
108,808501,AURORA 
109,808502,CAPITAL COAST 
110,808503,CENTRAL LABRADOR 
111,808504,EMERALD 
112,808505,HUMBER 
113,808506,HYRON 
114,808507,INUKSHUK 
115,808508,LONG RANGE 
116,808601,ALBERNI – CLAYOQUOT 
117,808602,CAPITAL 
118,808603,CARIBOO 
119,808604,CENTRAL KOOTENAY 
120,808605,CENTRAL OKANAGAN  
121,808606,COLUMBIA - SHUSWAP 
122,808607,COMOX - STRATHCONA  
123,808608,COWICHAN VALLEY 
124,808609,EAST KOOTENAY  
125,808610,FRASER VALLEY 
126,808611,FRASER – FORT GEORGE 
127,808612,GREATER VANCOUVER 
128,808613,KITIMAT - STIKINE 
129,808614,KOOTENAY BOUNDARY 
130,808615,NANAIMO 
131,808616,NORTH OKANAGAN 
132,808617,OKANAGAN - SIMILKAMEEN 
133,808618,DISTRICT OF PEACE 
134,808619,POWELL RIVER 
135,808620,SKEENA – QUEEN CHARLOTTE 
136,808621,SQUAMISH - LILLOOET 
137,808622,SUNSHINE COAST 
138,808623,THOMPSON - NICOLA 
139,808701,QUEENS 
140,808801,BRANDON 
141,808802,DAUPHIN 
142,808803,MELITA 
143,808804,MORRIS 
144,808805,SELKIRK 
145,808806,STEINBACH 
146,808807,SWAN RIVER 
147,808808,THOMPSON 
148,808809,WINNIPEG 
149,808901,CAPE BRETON 
150,808902,HALIFAX 
151,808903,PICTOU 
152,808904,YARMOUTH 
153,809001,GLOUCESTER 
154,809002,MADAWASKA 
155,809003,NORTHUMBERLAND 
156,809004,SAINT JOHN 
157,809005,WESTMORLAND 
158,809006,YORK 
159,809101,REGINA 
160,809102,SASKATOON 
161,809103,PRINCE ALBERT 
162,809104,MOOSE JAW 
163,809105,YORKTON 
164,809106,NORTH BATTLEFORD 
165,809107,SWIFT CURRENT 
166,809108,WEYBURN 
167,809201,YELLOWKNIFE 
168,809202,HAY RIVER 
169,809203,WHITEHORSE 
170,809204,FORT NELSON 
171,809205,INUVIK 
172,809207,DESTRUCTION BAY 
173,809208,FORT GOOD HOPE 
174,809209,ISKUT 
175,809210,JEAN MARIE RIVER 
176,809211,FORT WARE 
177,809212,TULITA 
178,809213,COLVILLE LAKE 
179,809214,GAMETI 
180,809215,NAHANNI BUTTE 
181,809216,PAULATUK 
182,809217,SACHS HARBOUR 
183,809218,WEKWEETI 
184,809219,ARVIAT 
185,809220,IGLOOLIK 
186,809221,IQALUIT 
187,809222,RANKIN INLET 
188,809223,WONOWON/BLUEBERRY 
189,809401,THUNDER BAY 
190,820201,AYLMER 
191,820501,PORT ELGIN 
192,820601,COCHRANE 
193,821001,DRYDEN 
194,821401,DASHWOOD 
195,822301,MILVERTON 
196,822801,TIMMINS 
197,823701,LAC-ETCHEMIN 
198,823702,SAINT-LIBOIRE 
199,823703,NICOLET 
200,823704,BAIE-DU-FEBVRE 
201,823705,NANTES 
202,823706,SAINT-PAULIN 
203,823707,WARWICK 
204,823901,AYLMER 
205,823902,BEAUPORT 
206,823903,DRUMMONDVILLE 
207,823904,GATINEAU 
208,823905,SHERBROOKE 
209,823906,SHAWINIGAN 
210,823907,SOREL 
211,823908,ST-HYACINTHE 
212,823909,ST-JEAN 
213,823910,THETFORD MINES 
214,823911,TROIS-RIVIÈRES 
215,823912,VICTORIAVILLE 
216,823913,VAL-D'OR 
217,824001,BAYFIELD 
218,824201,VALCOURT 
219,824501,GORRIE 
220,824502,CLIFFORD 
