code,city_id,npa,nxx,block,switch,switch_name,switch_type,lata,lir,ocn
125730,119231,201,200,A,JRCYNJBRDS5,,5E,224,-1,9206
125730,119231,201,201,A,HCKNNJHKX4X,,POI,224,-1,624H
125730,119231,201,201,0,NWRKNJ0248Z,,POI,224,-1,118F
125730,119231,201,201,1,NWRKNJ0248Z,,POI,224,-1,118F
125730,119231,201,201,2,HCKNNJHKX4X,,POI,224,-1,624H
125730,119231,201,201,3,NWRKNJ0248Z,,POI,224,-1,118F
125730,119231,201,201,4,NWRKNJ0248Z,,POI,224,-1,118F
125730,119231,201,201,5,NWRKNJ0248Z,,POI,224,-1,118F
125730,119231,201,201,6,NBWKNJNBXLY,,POI,224,-1,7142
125730,119231,201,201,7,NWRKNJ0248Z,,POI,224,-1,118F
125730,119231,201,201,8,NWRKNJ0248Z,,POI,224,-1,118F
125730,119231,201,201,9,RCPKNJ02GT1,,TG,224,-1,4036
125580,117828,201,202,A,WAYNNJ081MD,,POI,224,-1,6630
125580,117828,201,203,A,NWRKNJMDDSJ,,IMG,224,-1,325E
125580,117828,201,203,0,NWRKNJMDDSJ,,IMG,224,-1,325E
125580,117828,201,203,1,NWRKNJMDDSJ,,IMG,224,-1,325E
125580,117828,201,203,2,NWRKNJMDDSJ,,IMG,224,-1,325E
125580,117828,201,203,3,NWRKNJMDDSJ,,IMG,224,-1,325E
125580,117828,201,203,4,NWRKNJMDDSJ,,IMG,224,-1,325E
125580,117828,201,203,5,NWRKNJMDDSJ,,IMG,224,-1,325E
125580,117828,201,203,6,NWRKNJMDDSJ,,IMG,224,-1,325E
125580,117828,201,203,7,NWRKNJMDDSJ,,IMG,224,-1,325E
125580,117828,201,203,8,NWRKNJMDDSJ,,IMG,224,-1,325E
125580,117828,201,203,9,NWRKNJMDDSJ,,IMG,224,-1,325E
125730,119231,201,205,A,TTBONJ12BMD,,POI,224,-1,6664
125730,119231,201,205,0,TTBONJ12BMD,,POI,224,-1,6664
125730,119231,201,205,1,NWRKNJMDDS0,,NT5,224,-1,4123
125730,119231,201,205,2,NWRKNJ0248Z,,POI,224,-1,118F
125730,119231,201,205,3,TTBONJ12BMD,,POI,224,-1,6664
125730,119231,201,205,4,TTBONJ12BMD,,POI,224,-1,6664
125730,119231,201,205,5,TTBONJ12BMD,,POI,224,-1,6664
125730,119231,201,205,6,TTBONJ12BMD,,POI,224,-1,6664
125730,119231,201,205,7,TTBONJ12BMD,,POI,224,-1,6664
125730,119231,201,205,8,TTBONJ12BMD,,POI,224,-1,6664
125730,119231,201,205,9,TTBONJ12BMD,,POI,224,-1,6664
125580,117828,201,206,A,TTBONJ12AMD,,POI,224,-1,6664
125580,117828,201,206,0,TTBONJ12AMD,,POI,224,-1,6664
125580,117828,201,206,1,TTBONJ12AMD,,POI,224,-1,6664
125580,117828,201,206,2,TTBONJ12AMD,,POI,224,-1,6664
125580,117828,201,206,3,TTBONJ12AMD,,POI,224,-1,6664
125580,117828,201,206,4,TTBONJ12AMD,,POI,224,-1,6664
125580,117828,201,206,5,TTBONJ12AMD,,POI,224,-1,6664
125580,117828,201,206,6,TTBONJ12AMD,,POI,224,-1,6664
125580,117828,201,206,7,TTBONJ12AMD,,POI,224,-1,6664
125580,117828,201,206,8,TTBONJ12AMD,,POI,224,-1,6664
125580,117828,201,206,9,TTBONJ12AMD,,POI,224,-1,6664
126180,122801,201,207,A,JRCYNJ10CM3,,5E,224,-1,6391
125730,119231,201,208,A,RCPKNJ02GT1,,TG,224,-1,4036
125730,119231,201,208,0,JRCYNJ10CM3,,5E,224,-1,6391
125730,119231,201,208,1,RCPKNJ02GT1,,TG,224,-1,4036
125730,119231,201,208,2,NWRKNJ0248Z,,POI,224,-1,118F
125730,119231,201,208,3,HRSNNJAQAMD,,POI,224,-1,6664
125730,119231,201,208,4,RCPKNJ02GT1,,TG,224,-1,4036
125730,119231,201,208,5,RCPKNJ02GT1,,TG,224,-1,4036
125730,119231,201,208,6,NWRKNJ0209Z,,POI,224,-1,2680
125730,119231,201,208,7,RCPKNJ02GT1,,TG,224,-1,4036
125730,119231,201,208,8,HRSNNJAQAMD,,POI,224,-1,6664
125730,119231,201,208,9,RCPKNJ02GT1,,TG,224,-1,4036
125730,119231,201,209,A,JRCYNJBRDS5,,5E,224,-1,9206
125730,119231,201,209,0,JRCYNJBRDS5,,5E,224,-1,9206
125730,119231,201,209,1,JRCYNJBRDS5,,5E,224,-1,9206
125730,119231,201,209,2,JRCYNJBRDS5,,5E,224,-1,9206
125730,119231,201,209,3,NWRKNJ021KD,,POI,224,-1,7142
125730,119231,201,209,4,NWRKNJ021KD,,POI,224,-1,7142
125730,119231,201,209,5,JRCYNJBRDS5,,5E,224,-1,9206
125730,119231,201,209,6,JRCYNJBRDS5,,5E,224,-1,9206
125730,119231,201,209,7,JRCYNJBRDS5,,5E,224,-1,9206
125730,119231,201,209,8,JRCYNJ10CM3,,5E,224,-1,6391
125730,119231,201,209,9,JRCYNJBRDS5,,5E,224,-1,9206
126740,127982,201,210,A,MRTWNJMRNMD,,POI,224,-1,7421
126740,127982,201,210,0,BLVLNJAADS0,,EWSD,224,-1,8407
126740,127982,201,210,1,RCPKNJ02GT1,,TG,224,-1,4036
126740,127982,201,210,2,-1,,-1,224,-1,318J
126740,127982,201,210,3,MRTWNJMRNMD,,POI,224,-1,7421
126740,127982,201,210,4,WORNNJWO6MD,,POI,224,-1,692F
126740,127982,201,210,5,WHWKNJAN5MD,,POI,224,-1,4804
126740,127982,201,210,6,-1,,-1,224,-1,2680
126740,127982,201,210,7,MRTWNJMRNMD,,POI,224,-1,7421
126740,127982,201,210,8,-1,,-1,224,-1,4804
126740,127982,201,210,9,RCPKNJ02GT1,,TG,224,-1,4036
125580,117828,201,212,A,TTBONJ12AMD,,POI,224,-1,6664
125580,117828,201,212,0,TTBONJ12AMD,,POI,224,-1,6664
125580,117828,201,212,1,TTBONJ12AMD,,POI,224,-1,6664
125580,117828,201,212,2,TTBONJ12AMD,,POI,224,-1,6664
125580,117828,201,212,3,TTBONJ12AMD,,POI,224,-1,6664
125580,117828,201,212,4,NWRKNJ0248Z,,POI,224,-1,118F
125580,117828,201,212,5,NWRKNJ0248Z,,POI,224,-1,118F
125580,117828,201,212,6,WHWKNJAN5MD,,POI,224,-1,4804
125580,117828,201,212,7,TTBONJ12AMD,,POI,224,-1,6664
125580,117828,201,212,8,TTBONJ12AMD,,POI,224,-1,6664
125580,117828,201,212,9,TTBONJ12AMD,,POI,224,-1,6664
126090,122283,201,213,A,BBTPNJ06CM2,,CMC,224,-1,6391
125580,117828,201,214,A,RCPKNJ02GT1,,TG,224,-1,4036
124920,111945,201,215,A,NWRKNJ0209Z,,POI,224,-1,2680
124920,111945,201,215,0,NWRKNJ0209Z,,POI,224,-1,2680
124920,111945,201,215,1,NBWKNJ481MD,,POI,224,-1,1959
124920,111945,201,215,2,NWRKNJ0209Z,,POI,224,-1,2680
124920,111945,201,215,3,NWRKNJMDDS0,,NT5,224,-1,4123
124920,111945,201,215,4,NWRKNJMDDSJ,,IMG,224,-1,325E
124920,111945,201,215,5,JRCYNJ65DS4,,GSX,224,-1,264F
124920,111945,201,215,6,NWRKNJ0209Z,,POI,224,-1,2680
124920,111945,201,215,7,NWRKNJMDDSJ,,IMG,224,-1,325E
124920,111945,201,215,8,NWRKNJMDDSJ,,IMG,224,-1,325E
124920,111945,201,215,9,NWRKNJ0209Z,,POI,224,-1,2680
125730,119231,201,216,A,JRCYNJJODS5,,5E,224,-1,9206
125730,119231,201,217,A,JRCYNJJODS5,,5E,224,-1,9206
125580,117828,201,218,A,RCPKNJ02GT1,,TG,224,-1,4036
125730,119231,201,219,A,WAYNNJ081MD,,POI,224,-1,6630
